"","brnn_predictions","merged_data.Rating","merged_data.Year","minutes","pct3PRate","pctFTRate","pctORB","pctDRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioWSPer48","ratioDBPM","X.","Rating"
"63",74.9392645569043,75,2020,-0.449830101283383,0.933901358099616,-0.561708557578166,-0.321953035717109,-0.849761013293326,-0.615852698225845,2.13551395587083,1.26227793247341,-0.875743463612768,-0.720783001759216,-0.338950442039972,-0.357427624446689,-0.632921903574403,0.763355998124743,-0.00620687947820712
"64",75.9128478922849,76,2020,-0.555498129569607,-0.0747131418264124,-1.03677992467425,-0.342416152394043,-0.723355001942729,-0.496995523782257,-0.4243462232771,0.511976111746467,-0.253365055492197,-0.559479685438001,-0.450410475139777,0.0898411645844335,0.144241300831128,-0.13502816927819,0.164586141946783
"66",81.0639911042471,81,2020,-0.321313681364997,-1.32790147707185,2.523279855656,0.0395620255754074,1.48875019669271,0.70148098519058,-0.405606397661083,-0.440907200576751,0.783932291375422,-0.107830399738601,0.192029048082811,1.56862296840095,2.88943280008073,0.0285099185968591,0.904078836866191
"68",71.0112043494722,71,2020,-0.557833421618723,2.27692553915237,-0.102464327381606,-0.383342385747913,-1.11521363712958,-0.78423369535426,-0.439338083769914,0.511976111746467,-0.683102527765924,-0.462697695645273,-0.571363722810607,-0.446696224632069,-0.868537159895393,0.245075100299846,-0.783391710583977
"71",87.2606814929331,87,2020,-0.364217946893914,-1.59434292101615,0.475609445163436,-0.192353296763188,-0.0786843440546885,1.71176696796107,-0.368126746429049,-0.553452473685792,1.55449603476279,0.13412457474322,-0.338950442039972,0.377325289819247,1.13009505601179,0.763355998124743,1.59204296632118
"74",74.9549995491159,75,2020,-0.866410301418972,-1.59434292101615,2.82490581737323,-0.00136420777846236,-0.596948990592133,-0.576233640077982,-0.443086048893117,-0.474670782509463,-0.327457723125598,0.150254906375341,-0.338950442039972,0.198868791087849,-0.206852183341018,-0.421507004355692,-0.00620687947820712
"76",88.2701606520985,88,2020,-1.37771178620573,0.0269375384213081,1.37830358639903,-0.383342385747913,0.477502105887935,2.3357671337899,2.88510698051151,-0.557203982789427,0.70983962374202,2.79562929404326,-0.70360157760461,-0.733657091278441,-0.734830180701837,0.660818162494064,1.68997108090088
"78",77.8809038223678,78,2020,-0.445675203007951,-0.346605457637491,-0.823439739686621,0.0873092978215887,1.03368855583056,-0.487090759245292,-0.4243462232771,-0.557203982789427,-0.757195195399326,0.198645901271706,-0.571363722810607,-0.347417184552131,-0.169588106570158,-1.58791743355503,0.481887855041913
"82",87.2116044498107,87,2020,-0.297850714835729,0.137990741604104,0.669509077915528,-0.321953035717109,-0.571667788322014,1.53348120629569,-0.431842153523507,1.63742884283688,-0.105179720225394,2.32784967671174,0.332766324965261,0.388644041559875,-1.03262786359585,-1.11244689159946,1.59204296632118
"86",85.2616043278496,85,2020,-0.445675203007951,-0.240739322821515,0.501176300027015,-0.321953035717109,0.705032926319009,0.70148098519058,-0.439338083769914,-0.523440400856715,0.0281870815147283,1.73102740632324,0.116121789407795,0.619143515926626,-0.131964518343562,0.104085115231631,1.38291678196058
"88",71.9620194421599,72,2020,-1.27179827735714,2.11096607295334,-1.29844116788236,-0.431089657994094,-0.799198608753087,1.08776680213224,-0.43559011864671,-0.613476619343948,0.14673534972817,0.488991870649892,-0.70360157760461,-0.466332661759065,-1.19378508697918,0.494924341590943,-0.573737938258313
"93",76.9098006640602,77,2020,-0.389315818826324,0.947934638865487,0.258167158350627,-0.335595113501732,-0.0786843440546885,-0.704995579058535,-0.443086048893117,-0.31335589105317,-0.357094790178959,-0.156221394634965,-0.338950442039972,0.491393907694492,1.86276549141952,-0.13502816927819,0.327118419748069
"94",72.9933829006902,73,2020,-0.393234655763003,-0.635739208718663,0.520242941086273,-0.253742646793992,-0.331496366755881,0.434052342692508,-0.428094188400303,-0.568458510100331,1.18403269659579,-0.462697695645273,-1.00792338559291,-1.04830671169343,-0.0939518433829008,-0.653097285427108,-0.374765822209965
"96",71.912964211591,72,2020,-1.18690112164369,0.263123847091576,-1.98724135400543,-0.0286483633477088,-0.0407625406495095,-0.546519346467085,-0.405606397661083,-0.309604381949536,-0.268183589018877,-0.20461238953133,-0.70360157760461,-0.515105472568749,1.27354224177781,-0.787088947658043,-0.573737938258313
"99",74.9356745684094,75,2020,-0.324972275443716,1.14464297305955,-0.432338957662206,-0.444731735778718,-0.824479811023206,-0.764424166280328,2.88510698051151,-0.613476619343948,-1.11284000003965,0.182515569639584,0.0359676164827333,-0.153703733697928,-1.41516857581964,-0.13502816927819,-0.00620687947820712
"102",82.0172597079614,82,2020,-0.27491725027841,0.999409872292609,-0.90230618792405,-0.315131996824797,-0.167168552000106,-0.407852642949567,-0.43559011864671,-0.564707000996696,0.14673534972817,1.44068143694506,-0.571363722810607,-0.668144189284458,-0.901611311127745,0.712817894302602,1.03210310608367
"105",70.0088785067615,70,2020,-1.86779072523652,-1.59434292101615,-1.87833303658186,0.155519686744705,2.10813965231063,-1.38842433210916,-0.319403199827404,0.0205284191703193,5.64441128812655,0.698686181867471,-0.848989912480604,-2.12713650245568,3.63466966567736,1.72667885270664,-1.00446110685735
"109",75.7157695546308,76,2020,-1.65874806323979,-0.621999662864743,-1.98724135400543,-0.533405241378769,0.161487077511445,-1.38842433210916,-0.488061630371558,-0.485925309820367,1.98423350703652,2.24719801855113,-1.00792338559291,-3.46738887129379,-1.87594602804568,-1.97748471470821,0.164586141946783
"111",74.9330366512187,75,2020,-0.317668337463963,0.812377649891532,-0.84085019600687,-0.424268619101783,-0.533745984916835,-0.417757407486533,-0.431842153523507,0.887127022109939,-0.0014499855386323,-0.833695323184066,-0.70360157760461,-0.668144189284458,0.0227985276103175,0.245075100299846,-0.00620687947820712
"112",72.0386747791123,72,2020,-0.929659363971852,-0.40177508231874,2.12686514384129,4.24132198323937,0.742954729724187,-0.576233640077982,-0.439338083769914,-0.564707000996696,0.428287486735095,-0.107830399738601,-0.70360157760461,-0.485896282797893,0.0227985276103175,0.176150887934848,-0.573737938258313
"115",73.6371652888692,74,2020,-2.15824126642008,-1.59434292101615,-1.98724135400543,-0.533405241378769,-1.96213391317857,-1.38842433210916,-0.488061630371558,-0.613476619343948,-1.91304081048039,-3.02742042515258,-0.70360157760461,-1.21042795156635,-0.424124388388856,1.04061513758996,-0.185797629811158
