"","merged_data.Rating","merged_data.Year","minutes","pct3PRate","pctFTRate","pctORB","pctDRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioWSPer48","ratioDBPM","X.","Rating"
"31",75,2019,0.82721704640282,-0.433936610328983,1.27114543186812,-0.383342385747913,-0.419980574701298,-0.110709706840599,2.88510698051151,2.38773066356383,0.428287486735095,0.440600875753528,-0.235588694264219,-0.65871390398496,-0.701025478392448,0.104085115231631,-0.00620687947820712
"33",67,2019,-1.28404936427586,-1.59434292101615,1.61141108064187,0.100951375606212,1.07161035923574,-0.754519401743363,-0.405606397661083,-0.474670782509463,-1.18693266767305,-0.914346981344673,-0.450410475139777,1.99051284464399,1.03543346826036,-0.13502816927819,-1.74446727225435
"35",75,2018,0.604162578918685,-1.0374379586779,0.687768513399413,0.271477347914003,0.351096094537339,-0.0116620614709433,-0.420598258153896,-0.497179837131272,0.398650419681735,-0.962737976241037,0.883233356148307,0.833382932838067,1.41863002702815,-0.787088947658043,-0.00620687947820712
"36",74,2019,-0.0913083275614202,-0.433936610328983,0.264932126140342,0.128235531175458,0.502783308158054,0.196337993805334,-0.43559011864671,-0.542197946374888,1.12475856248907,-0.220742721163451,-0.235588694264219,0.0253420903687,0.269819868718176,-0.787088947658043,-0.185797629811158
"37",87,2018,1.49897363989682,-1.54025814707193,1.35814431937943,0.585245136960337,2.63904489998313,0.0279569966769192,-0.405606397661083,-0.452161727887655,0.443106020261776,0.392209880857163,1.72765264862867,1.0790915120917,2.52455196051074,-1.97748471470821,1.59204296632118
"38",87,2019,1.50938193992316,-1.43192402145694,1.06311141603378,0.612529292529584,2.42415468068712,-0.675281285447638,-0.394362502291473,-0.44841021878402,-0.0755426531720337,0.666425518603227,1.59341153176084,0.979832031126095,1.66381370584109,-1.97748471470821,1.59204296632118
"40",77,2018,0.939918537744169,0.0778161522126711,0.338609186104906,-0.281026802363239,-0.36941817016106,0.216147522879265,-0.428094188400303,-0.542197946374888,0.428287486735095,-1.17243228745862,0.634077328569836,-0.0172771918012465,0.398852179386302,-0.319326317381433,0.327118419748069
"41",76,2019,0.910313857650406,0.593153221814603,-0.00753334932120893,-0.301489919040174,-0.293574563350702,0.275576110101059,-0.420598258153896,-0.51218587354581,0.10227974914813,-1.34986593541195,1.01444998166732,0.36602605789667,0.756570470766628,-0.319326317381433,0.164586141946783
"42",66,2018,-1.30932423530039,0.835733873403703,-0.353360737529983,-0.417447580209471,-0.912964018968624,0.127004642046575,-0.405606397661083,-0.470919273405828,0.176372416781531,-0.753043665023459,-0.571363722810607,0.689836812141321,0.398852179386302,0.494924341590943,-2.01987166048159
"43",67,2019,-1.79118986046047,0.700359636461365,-1.98724135400543,-0.0559325189169553,-1.11521363712958,-1.38842433210916,-0.371874711552252,-0.613476619343948,0.206009483834892,0.0857335798468561,-0.848989912480604,-3.53668136302457,-1.03262786359585,0.494924341590943,-1.74446727225435
"44",75,2018,0.486955745310905,-0.585346647823859,0.0852983323318097,-0.00136420777846236,-0.419980574701298,-0.794138459891225,-0.405606397661083,-0.497179837131272,0.220828017361572,-1.64021190479014,0.116121789407795,0.0467656301214065,1.27354224177781,0.551997441423238,-0.00620687947820712
"45",74,2019,-0.967226239513265,-1.59434292101615,-1.1471793778372,0.148698647852393,2.18398325912098,-0.338519291190808,-0.44683401401632,-0.425901164162212,0.70983962374202,-0.688522338494973,-0.571363722810607,0.165959051858192,1.41863002702815,2.17311844611737,-0.185797629811158
"46",75,2018,0.728479264122948,-0.0839470123014526,0.945935742375611,-0.396984463532536,-0.735995603077789,0.72129051426451,-0.43559011864671,-0.545949455478523,0.161553883254851,0.13412457474322,0.264120969475628,-0.347417184552131,-0.529426878939754,-0.787088947658043,-0.00620687947820712
"47",66,2018,-0.721769747203844,1.50171533866035,-1.41505392404369,-0.390163424640225,0.0603622684309676,-0.96251945701964,2.13551395587083,0.887127022109939,-0.475643058392401,-0.236873052795572,-1.00792338559291,-1.22715528352481,-1.00005803519162,1.32061943459378,-2.01987166048159
"48",80,2018,1.65951871211759,-0.41096565597701,0.134438970189291,-0.321953035717109,-0.596948990592133,-0.576233640077982,-0.431842153523507,-0.557203982789427,-0.609009860132523,0.747077176763835,-0.13921762998074,-0.620813854757073,-0.494539424507303,0.607250883692695,0.769953824714859
"49",80,2019,1.45962812114974,-0.282184545555765,0.155321492951353,-0.294668880147862,-0.521105383781775,-0.308804997579911,-0.439338083769914,-0.553452473685792,-0.534917192499122,0.908380493085049,-1.77864570364495,-0.825740255556676,-0.459442086913757,0.607250883692695,0.769953824714859
"52",70,2018,-2.06471370249343,-1.54927611552663,-1.98724135400543,-0.533405241378769,-1.96213391317857,2.74186247980549,-0.488061630371558,-0.613476619343948,-1.91304081048039,-1.2369536139871,-0.70360157760461,7.49633694672586,-4.49080585444127,-1.11244689159946,-1.00446110685735
"53",94,2018,1.54672364826687,-1.0920106293441,1.15528106463607,-0.00818524667077399,1.17273516831621,-0.318709762116877,-0.41310232790749,-0.403392109540404,-0.638646927185884,1.81167906448385,2.53637736814816,1.75661272549157,1.03543346826036,0.660818162494064,2.19828956160275
"54",94,2019,1.08486736662876,-0.955485243833173,1.22420176487341,0.141877608960082,1.51403139896282,0.493480929914302,-0.405606397661083,-0.388386073125865,-0.668283994239244,1.73102740632324,2.1292544852865,1.83845742386702,1.81280512723186,0.660818162494064,2.19828956160275
"56",75,2018,1.02735507860869,1.98312897898497,0.404435713613323,-0.321953035717109,-0.407339973566239,-0.645566991836741,2.88510698051151,-0.572210019203966,-0.44600599133904,-0.640131343598608,1.50653461412922,0.560778858053197,-0.280401067491587,1.49933940198473,-0.00620687947820712
"57",73,2019,0.524786268631539,2.2532002900418,0.0640583686533179,-0.431089657994094,0.0856434707010868,-0.843662282576053,2.51031046819117,-0.549700964582157,-0.253365055492197,-1.0111289711374,-0.0489430111014471,-0.446696224632069,-0.352780716197227,1.49933940198473,-0.374765822209965
"59",71,2019,0.281743935714119,-0.548673038279404,-0.229890639872007,5.60552976170169,-0.306215164485762,-0.576233640077982,2.13551395587083,2.7628815739273,-0.801650795979367,0.92451082471717,-2.24472179172303,-1.19363727217926,-1.25751278058716,-0.319326317381433,-0.783391710583977
